Part#,Product#,Product Line,Status,Standard,Non Standard,Sample,Details 1,Details 2
95600-02,95600,Spare Parts-MG,TBD,,,,,WINCH FOR SWING WITHOUT I
94311-04010111,94311,Fire Protection,Standard,94311-04010111,,,4in / CAST STEEL / ANSI-RF 150# / NPT,"4""150# DFA-CS,TWO 3/4""NPT"
3905   ZA713505,3905,Inventory Management,TBD,,,,,0101101000 MCG 3905 GAUGI
92021-31080500,92021,Automatic Tank Gauges,Standard,92021-31080500,,,NoKit,"LVL GAGE,INN,FT/IN,X-ROOF"
95021-032200,95021,Gauge Hatches,Standard,95021-08B220,,,"Quick Clamp / Steel / 8"" / ANSI-FF 150 lb. Bolted / Standard No Lock","8""FF ANSI G/H Q'CLMP STL/"
94110=19010000,94110,Pressure / Vacuum Vents,Standard,94110-1A1B20,,,12in / MED / Standard / Lead / ALUMINUM I-ST / ANSI-FF 150#,"12""VAC/VT AL/FF SP>STD"
92021-33050230,92021,Automatic Tank Gauges,Standard,92021-33050230,,,NoKit,FT/IN INN FLTG/ROOF HC AT
94550-522288,94550,Fire Protection,Standard,94550-522288,,,NoKit,"2""RF F/V+F/A CS BODY 304S"
9230-11360,9230-,Spare Parts-MG,TBD,,,,,TARGET ASSEMBLY
7030   &F715501,7030,Overfill Protection,TBD,,,,,320011     MCG 7030 ALARM
94020R120142001,94020,Pressure / Vacuum Vents,TBD,,,,,"2"" BV-ALUM SS:S/P/T +.5/-"
94270 08010113,94270,Pressure / Vacuum Vents,Standard,94270 08010113,,,NoKit,"1""FLG 316/BUNA <2"" E50"
94040=L51110001,94040,Pressure / Vacuum Vents,SP,,SP,94042-4E4B4K10,4'' / Standard / 11.01 PSIG - 13.0 PSIG / Standard / 316SS I-ST / ANSI-RF 150#,4X4 SLBV 316/RF FEP 12#/-
97120-066022011,97120,Wastewater - Tanks,SP,,SP,,6 / 316SS / NBR / No Finish / Cooling Coil,"6""FF SED/TRAP 304SS,316/S"
94020R390762001,94020,Pressure / Vacuum Vents,TBD,,,,,"12""FF BV-CI,PFA,AW,LIM/SW"
94110R16000001,94110,Pressure / Vacuum Vents,TBD,,,,,"6"" V/V-ALUM RST 316/TR SP"
94270 070101002,94270,Pressure / Vacuum Vents,Standard,94270 070101002,,,NoKit,"1""FLG 304/CS/BUNA <2"" E50"
94510-2402000,94510,Emergency Vents,Standard,94510-2402000,,,NoKit,"10"" M/V CS/FF ANSI|SP<1#|"
94020=59116300,94020,Pressure / Vacuum Vents,Standard,94020-1C1B10,,,Open Vent / 12in / CAST STEEL I-ST / ANSI-RF 150# / MED / Standard / Lead / PFA,"12""RF BV/STL AG/PFA SP>ST"
94200-32052210,94200,Emergency Vents,TBD,,Discontinued Feature,,,"30""AL UL142 E/V|AL:PAL|SP"
94069=281203,94069,Gauge Hatches,Standard,94069-8C012,,,8'' / Lock-Down (Manual Closing) / Derakane 470 / ANSI 125/150 Lb / Corrosion Barrier / Corrosion Barrier with Encapsulated Weights,"8""G/H D470+XCB|H|LOCK|MAN"
94210-330200006,94210,Emergency Vents,SP,,SP,94210-6A6B10,20in / Standard / Standard / ANSI-FF / STEEL,"20""ANSI-RF E/V-CS|SS-PAL|"
1200M344200012C,1200M,Transmitters,TBD,,,,,AI/SPT/PBUS/2DI/1PLS/110/
3221   (G718001,3221,Field Interfaces,TBD,,,,,3202120101 MCG 3221 PROTO
94020=760312001,94020,Pressure / Vacuum Vents,TBD,,,,,"6X8 BV-316SS XOS +3""/-30"""
1500F1400000109,1500F,Servo Level Gauges,TBD,,,,,"4""150#CS FLG/AL HSG/LVL/2"
9710-10170,9710-,Spare Parts-MG,TBD,,,,,"1/4""D WEAR PAD 3/32""T GPT"
D120-S-22-T30,D120-,Delavan Magnetostrictive,TBD,,,,,120 W/ 22 SENSOR & 30' CA
94020=54110205,94020,Pressure / Vacuum Vents,Standard,94020-3C3C10,,,Open Vent / 3in / CAST STEEL I-ST / ANSI-RF 150# / HIGH / Standard / Lead / FEP,"3""RF P&V VENT-CS,OV,>2.9"
94210-431100,94210,Emergency Vents,Standard,94210-6C6C10,,,20in / Standard / Standard / ANSI-FF / ALUMINUM,"20""AL ANSI E/V AL/PAL SP:"
7030   ZK727003,7030,Overfill Protection,TBD,,,,,111111     MCG 7030 ALARM
7030   ZK727502,7030,Overfill Protection,TBD,,,,,111111     MCG 7030 ALARM
97120-046212003,97120,Wastewater - Tanks,SP,,SP,97120-04E04CB,4 / 316SS / NBR / Hot Dipped Galvinizing (Steel Only) / None / STEEL / ANSI-FF / 5 PSIG,"4"" STL-GALV SS/SG NEOP 5#"
1090-1021020230,1090-,Overfill Protection,TBD,,,,,"1.5""/NPT/LJ+CK/1.5"" GRAPH"
811061,81106,L&J Spare Parts,TBD,,,,,1095 WIRELESS BATTERY ASS
94110=591000101,94110,Pressure / Vacuum Vents,TBD,,,,,"12"" VAC/VT CS/RF PFA V<ST"
7030   &G729001,7030,Overfill Protection,TBD,,,,,220011     MCG 7030 ALARM
851786-010,85178,Spare Parts-MG,TBD,,,,,"4"" DIAPHRAGM .010 FEP"
94160-480210001,94160,Pressure / Vacuum Vents,SP,,SP,0,16in / ANSI 125/150 R.F. / Standard,"14""CS/RF|AL/HD|SP<5OZ|PRI"
94200 12040300,94200,Emergency Vents,Standard,94200-4D4A10,,,"Steel / Standard / API / Standard / FEP / 24"" Pallet & Diaph.","24""API/CS EM/VNT SS:PAL S"
97570R180718001,97570,Fire Protection,TBD,,,,,"10""AL|316:T/B+TR|AW|XOS|I"
94406-202210006,94406,Fire Protection,TBD,,,,,"2""RF/CS 316:TB|(1)3/4""|19"
610E000VE4H21,6.10E+02,Omnitrol Top Mount,TBD,,,,,"SGL-CI 2.5""|VE4|.85SG|GLC"
97100-7312,97100,Wastewater - Misc,Standard,97100-7312,,,NoKit,6QT AL AN-D&C NEOP AI 25#
820399,82039,L&J Spare Parts,TBD,,,,,PCB ASSY-6 POS COND-1090-
94020R180302071,94020,Pressure / Vacuum Vents,TBD,,,,,"10X12""AL|FEP|SP=1#|316:TR"
94020A57110305,94020,Pressure / Vacuum Vents,TBD,,,,,"8""RF/CS OV SP>2.9 316/TRM"
94130-371312001,94130,Pressure / Vacuum Vents,SP,,SP,0,Standard / HIGH / Expanda-Seal / Lead / FEP,"8X10"" CI/RF LIM/XOS SS/TR"
94221-020210,94221,Emergency Vents,Standard,94221-2K2A2J10,,,20 / ALUMINUM / API-650 / ALUMINUM / 20 / 20 / Steel / Lead / 5.5 - 5.99 / Steel / Lead / Standard,"20"" P&V VENT, AL ,AL,5.5"
5951,5951,,TBD,,,,,TRAVEL & MISC EXPENS.(WW)
D514,D514,Delavan Capacitance,TBD,,,,,514 FOUR POINT LEVEL SWIT
BA18150,BA181,Omnitrol Spare Parts,TBD,,,,,ACTUATOR E-2 ASSY
94210-240200,94210,Emergency Vents,Standard,94210-7F7B10,,,24in / Standard / Standard / API 650 / ALUMINUM,"24""API E/V-ALUM|AL:PAL|SP"
94060-064241,94060,Pressure / Vacuum Vents,TBD,,,,,"6""FRP O/V DER470/SS|EW|AN"
94065-244203004,94065,Pressure / Vacuum Vents,TBD,,,,,"24""ANSI D470+XCB|H|P>4OZ|"
94210-381101,94210,Emergency Vents,Standard,94210-7J7C10,,,24in / Standard / Expanda-Seal / ANSI-FF / 316SS,"24""ANSI-FF/316SS E/V|<8OZ"
94040=760711002,94040,Pressure / Vacuum Vents,SP,,SP,94041-6C6B6G20,6'' / ATEX / 7.01 PSIG - 9.0 PSIG / Standard / CAST STEEL I-ST / ANSI-RF 150#,6X8 CS/RF 8#/-.58OZ A193/
D220-T-14-H,D220-,Delavan 220,TBD,,,,,SONAC 220 W/14 SENS/BIN W
9430-11116,9430-,Spare Parts-MG,TBD,,,,,"12""316SS TUBE BNK & SHELL"
94210-441100,94210,Emergency Vents,Standard,94210-7C7C10,,,24in / Standard / Standard / ANSI-FF / ALUMINUM,"24""ANSI/AL AL/PAL FEP SP<"
97570=160B13AD2,97570,Fire Protection,TBD,,,,,"6""AL|SS:T/B|AW|JKT|XOS|SP"
2000M0211001670,2000M,Transmitters,TBD,,,,,2000M SJ/SPOT/HART/24 LOO
97177-132200002,97177,Wastewater - Misc,TBD,,,,,"3"" DPPR-REGULATOR AL 8-14"
94040=E2091300,94040,Pressure / Vacuum Vents,Standard,94040-2E2B2I10,,,2'' / Standard / 9.01 PSIG - 11.0 PSIG / Standard / 316SS I-ST / ANSI-RF 150#,"2""RF SL|BV 316SS|VITON 9-"
94221-010201004,94221,Emergency Vents,SP,,SP,94221-2J2A2A10,20 / STEEL / API-650 / ALUMINUM / 20 / 20 / Steel / Lead / 1.0 - 1.49 / Steel / Lead / Standard,"20""CS/API  AL/PAL VAC=.75"
94020=741302006,94020,Pressure / Vacuum Vents,TBD,,,,,3X4 BV-316/RF CL-PAL 1.8#
94060-066541001,94060,Pressure / Vacuum Vents,TBD,,,,,"6""O/V D470+XCB|HAST|EW|HI"
94060-084541,94060,Pressure / Vacuum Vents,TBD,,,,,"8"" O/V DER470+XCB|SS|EW|A"
94040=95031000,94040,Pressure / Vacuum Vents,Standard,94041-4E4B4C10,,,4'' / Standard / 3.01 PSIG - 5.0 PSIG / Standard / 316SS I-ST / ANSI-RF 150#,4X6 SLBV A316/RF 3-4# V=>
9202-14340,9202-,Spare Parts-MG,TBD,,,,,CARTRIDGE SUB-ASSY-90'F/N
94050-020105,94050,Pressure / Vacuum Vents,Standard,94050-2A2E0,,,"2in / PVC / ANSI-FF / Open, P&V / MED / 316SS","2""PVC BRETH OV (M)150#FL"
852867-001,85286,Spare Parts-MG,TBD,,,,,"12"" VACUUM SEAT GASKET N8"
94570R561303001,94570,Fire Protection,TBD,,,,,"6X8""CS/RF|FEP|RST|LOVAC|T"
94406-632202,94406,Fire Protection,TBD,,,,,"6""FF/AL 316SS (4)3/4"" ISO"
621C000VE2Y00,621C0,Omnitrol Top Mount,TBD,,,,,"SGL,2.5""NPT,VE2,SPDT,LEAD"
96330 18200000,96330,Fire Protection,Standard,96330-18A2100,,,8 / 10 / Standard Leakage / Single Spring (All Sizes) / 'J'Flange 300 / SRF Smooth,"8X10 300#J ISV STL,RF,HNB"
94020=170642001,94020,Pressure / Vacuum Vents,TBD,,,,,"8""X8""BV AL/FF VITON SP=10"
94210-380201001,94210,Emergency Vents,SP,,SP,94210-7J7B10,24in / Standard / Expanda-Seal / ANSI-FF / 316SS,"24""ANSI-316 E/V|XOS|<4OZ|"
621E000VE2Y25,6.21E+02,Omnitrol Top Mount,TBD,,,,,"2.5""NPT-CI|PB DSP|VE2|GLC"
6083,6083,,TBD,,,,,FLD. SERVICE-MECH LEVEL
94210-370220,94210,Emergency Vents,Standard,94210-6B6B20,,,20in / ATEX / Standard / ANSI-FF / 316SS,"20"" E/V ANSI 316,SP<4OZ,"
94130-650115001,94130,Pressure / Vacuum Vents,SP,,SP,94130-4D4L10,316SS R-ST / ANSI-FF 150# / Standard / HIGH / Expanda-Seal / 316 / FEP,"4""FF/316 OV|XOS|>5""|AW|IN"
94307-171177,94307,Fire Protection,TBD,,,,,"8""FF/AL AL/TBS 18-8HW STD"
94020=74030500,94020,Pressure / Vacuum Vents,Standard,94021-3D3F10,,,"Closed, Standard Outlet > Inlet* / 3in / 316SS I-ST / ANSI-FF 150# / HIGH / Standard / 316 / FEP","3""X4""FF/A316 SS WTS SP>5"""
1090-4233040100,1090-,Overfill Protection,TBD,,,,,"2""NPT/SA+CK/NCNO/SGL NYL/"
95021-033100,95021,Gauge Hatches,Standard,95021-08B130,,,"Screw Down / Steel / 8"" / ANSI-FF 150 lb. Bolted / Standard No Lock","8""FF ANSI SCRWDWN G/H STL"
93421-1102,93421,Automatic Tank Gauges,TBD,,,,,"2""150# RF TAPE BLOCK VALV"
95600-01,95600,Spare Parts-MG,TBD,,,,,WINCH FOR SWING ASS'Y W/O
811383,81138,L&J Spare Parts,TBD,,,,,1000 TO 1000M KIT LJ/SPOT
94200-33020200,94200,Emergency Vents,Standard,94200-2N2K10,,,"Aluminum / Limited Lift / API / Standard / FEP / 20"" Pallet & Diaph.","20""API EV-ALUM AL/PAL L/L"
94241-0800,94241,Pressure / Vacuum Vents,Standard,94241-08011,,,"8"" 125 lb. FF Flange / Steel / Aluminum / Zinc Plated Steel / Galvanized Steel","8""FREE VENT STL/BASE AL/H"
94130-180386E0,94130,Pressure / Vacuum Vents,Standard,94131-0A0E10,,,ALUMINUM R-ST / ANSI-FF 150# / Standard / MED / Standard / 316 / NBR,"10X12""AL|BUNA|SP<5""|316:S"
94100-04,94100,Pressure / Vacuum Vents,Standard,94100-04,,,NoKit,"10""FF VAC VNT STL BODY ST"
94570=150302001,94570,Fire Protection,TBD,,,,,"4X6""AL|ATFE|SS:P,S,TR,V=-"
827609,82760,L&J Spare Parts,TBD,,,,,ASY 2600 CPU HART/AO/LPWR
94200-520523003,94200,Emergency Vents,TBD,,SP,94200-5F5A10,,"30""ANSI E/V-316|SS:PAL|>1"
94550-664488,94550,Fire Protection,Standard,94550-664488,,,NoKit,"6""RF F/V+F/A 316SS BODY T"
97570R170B12AD2,97570,Fire Protection,TBD,,,,,"8""AL|AW|XOS|>5""|JKT|316:T"
97100P2422003,97100,Wastewater - Misc,Standard,97100P2422003,,,NoKit,LCP2 AL/N7 AUTO+TMR; FAIL
94040=I20403001,94040,Pressure / Vacuum Vents,SP,,SP,94042-2B2B2D10,2'' / Standard / 3.01 PSIG - 5.0 PSIG / Standard / CAST STEEL I-ST / ANSI-FF 150#,"2X2""FF CS/KYNAR HAST/TR F"
97570R140B18AD2,97570,Fire Protection,TBD,,,,,"3""AL|316:T/B+TR|AW|XOS|IW"
94040=L51110011,94040,Pressure / Vacuum Vents,SP,,SP,94042-4E4D4K10,4'' / Standard / 11.01 PSIG - 13.0 PSIG / Expanda-Seal / 316SS I-ST / ANSI-RF 150#,4X4 SLBV 316/RF XOS +12#/
94200-121123002,94200,Emergency Vents,TBD,,SP,,,"16""ANSI-RF CS|SS:PAL|PFA|"
94241-0632,94241,Pressure / Vacuum Vents,Standard,94241-06231,,,"4"" 125 lb. FF Flange / 316 SS / 316 SS / 316 SS / 316 SS","4"" FV 316: BASE,HOOD,HDWR"
94020=57111300,94020,Pressure / Vacuum Vents,Standard,94020-8C8H10,,,Open Vent / 8in / CAST STEEL I-ST / ANSI-RF 150# / MED / Expanda / Lead / FEP,"8""BRETH CS/RF XOS SP/>STD"
9402-15286,9402-,Spare Parts-MG,TBD,,,,,"12""CLAMP RING,EXPO,316"
95021-020202,95021,Gauge Hatches,Standard,95021-06C200,,,"Quick Clamp / 316SS / 6"" / ANSI-FF 150 lb. Bolted / Standard No Lock","6""95021 316SS BOLTED QUIK"
92021-31450130,92021,Automatic Tank Gauges,Standard,92021-31450130,,,NoKit,"LVL GAGE,18M,INN,N/MAG,AT"
94160-470310001,94160,Pressure / Vacuum Vents,SP,,SP,0,12in / ANSI 125/150 R.F. / Standard,"12""RF/CS PV,AL HD,SP>5 OZ"
9712-50050,9712-,Spare Parts-MG,TBD,,,,,FE2O3/WOOD CHIPS 15-18#/C
94210-161200,94210,Emergency Vents,Standard,94210-4B4D10,,,16in / Standard / Standard / ANSI-FF / 316SS,"16""FF/316 E/V|ANSI|SP>8OZ"
94140-C6141000,94140,Pressure / Vacuum Vents,TBD,,,,,"6""RF SLBV-STL FEP SS/TRIM"
97200-52,97200,Fire Protection,Standard,97200-52,,,NoKit,"1-1/2""NPT FLAME CHECK AL/"
94160-44011004,94160,Pressure / Vacuum Vents,Standard,94160-06B206A10,,,6in / ANSI 125/150 R.F. / STANDARD / Lead / 18-8SS / Standard / None,"6""RF PRESS/VT CS SS/ST&PL"
94311-02040100,94311,Fire Protection,Standard,94311-02040100,,,2in / 316SS / ANSI-RF 150#,"2""150#RF DFA A316SS"
94020=390762001,94020,Pressure / Vacuum Vents,TBD,,,,,"12""FF BV-CI,PFA,AW,LIM/SW"
92302-19522A,92302,Automatic Tank Gauges,Standard,92302-19522A,,,NoKit,AL GAGE BD & 2A KIT-4.7M/
943X6-172271,943X6,Fire Protection,TBD,,,,,"8""FF/AL 316TB GSKT 1/2DR"
RF706-900,RF706,Spare Parts-MG,TBD,,,,,3/4 TRANS VALVE W/O COIL
D220-S-11L-S-38,D220-,Delavan 220,TBD,,,,,220 W/50'316 11L SENSOR 3
95210-040210,95210,Gauge Hatches,Standard,95210-040210,,,NoKit,"30""ANSI MH-ALUM STL/CLMP"
9402-18701,9402-,Spare Parts-MG,TBD,,,,,"6"" A/G DIFRAM .010""FEP"
94020R180305001,94020,Pressure / Vacuum Vents,TBD,,,,,"10X12 BV-ALUM,SS:S/P/TR,L"
1090-1021020200,1090-,Overfill Protection,TBD,,,,,"1090 1.5""/NPT/LJ+CK/1.5"""
95010-0311,95010,Gauge Hatches,Standard,95010-0311,,,NoKit,"8"" CVR AL SELF/CLOS CE"
94020=770106002,94020,Pressure / Vacuum Vents,TBD,,,,,"8""FF/316 SS/WGT SP=1.72/-"
94241-0721,94241,Pressure / Vacuum Vents,Standard,94241-07121,,,"6"" 125 lb. FF Flange / Aluminum / Aluminum / Stainless Steel / Stainless Steel","6""FREE/VT AL:BASE&HOOD|SS"
94020=55030500,94020,Pressure / Vacuum Vents,Standard,94021-4B4F10,,,"Closed, Standard Outlet > Inlet* / 4in / CAST STEEL I-ST / ANSI-FF 150# / HIGH / Standard / 316 / FEP",4X6 BV-STL/FF SS/WGT SP>5
94110=180000003,94110,Pressure / Vacuum Vents,TBD,,,,,"10"" ALUM VAC/VT V=-.5OZ 2"
94020R35160405,94020,Pressure / Vacuum Vents,TBD,,,,,4X4 BV-CI/RF A/G 316/TR S
94020P-1506042,94020,Pressure / Vacuum Vents,TBD,,,,,"8"" VAC-PALL ASSY AG SS/WG"
94020=190603A0,94020,Pressure / Vacuum Vents,Standard,94022-1A1B10,,,"Pipe Away, Same Size Inlet and Outlet / 12in / ALUMINUM I-ST / ANSI-FF 150# / MED / Standard / Lead / FEP","12X12""AL C/V|FEP|<5""|316:"
94020=571102012,94020,Pressure / Vacuum Vents,TBD,,,,,"8""RF BV-STL C-PAL 1#MAX|."
94210-151120,94210,Emergency Vents,Standard,94210-2B2C20,,,10in / ATEX / Standard / ANSI-FF / 316SS,"10""FF/316 E/V|ANSI|SP>4OZ"
97150-062301006,97150,Wastewater - Misc,SP,,SP,97150-062D14,High/External / 6in / External / Insulation Jacket / 6in,"6"" SPR,ALUM,EXT,SOL,JKT,8"
92021-6A1,92021,Automatic Tank Gauges,Standard,92021-6A1,,,NoKit,KIT 6A-FLOATING ROOF 40 F
94210-241100,94210,Emergency Vents,Standard,94210-7F7C10,,,24in / Standard / Standard / API 650 / ALUMINUM,"24""API E/V-ALUM; SP:4-8 O"
LB290-846,LB290,Spare Parts-MG,TBD,,,,,FLOAT SS 17.25D TAPE/CON
351    &H71906,351,,TBD,,,,,1305020101 351 MULTI-POIN
94020=77110100,94020,Pressure / Vacuum Vents,Standard,94020-8E8A10,,,Open Vent / 8in / 316SS I-ST / ANSI-RF 150# / LOW / Standard / Lead / FEP,"8""BRETH A316/RF SP=STD"
94110=62150000,94110,Pressure / Vacuum Vents,Standard,94110-2E2F38,,,2in / HIGH / Standard / 316 / 316SS I-ST / ANSI-RF 150#,"2""RF SVR SVC VAC VNT 316S"
94020=140102021,94020,Pressure / Vacuum Vents,TBD,,,,,"3"" BV-ALUM,CL-P,FEP +/-11"
94200-12030104,94200,Emergency Vents,Standard,94200-3D2A20,,,"Steel / Standard / API / ATEX / FEP / 20"" Pallet & 24","20""X24""API STL:BASE&PAL;"
94020=55130305,94020,Pressure / Vacuum Vents,Standard,94021-4C4B10,,,"Closed, Standard Outlet > Inlet* / 4in / CAST STEEL I-ST / ANSI-RF 150# / MED / Standard / Lead / FEP","4""X6""BRETH CS/RF SS/TRM"
94140-14050101,94140,Pressure / Vacuum Vents,TBD,,,,,"3"" SLPV ALUM XOS/PFA 5-6#"
1097   ZG707001,1097,Vent Relief,TBD,,,,,20         WIRELESS RELIE
94020R16014105,94020,Pressure / Vacuum Vents,TBD,,,,,"6"" BV-ALUM,R-ST,SS/TR,VI"
97150-082510001,97150,Wastewater - Misc,SP,,SP,97150-082E30,High/External / 8in / External w/ Solenoid / None / 8in,"8""SPR,ALUM,EXT,SOL,MBP,8-"
92021-1A2067,92021,Automatic Tank Gauges,Standard,92021-1A2067,,,NoKit,KIT1A2 316SS JB3435-1/MAR
96330 11201000,96330,Fire Protection,Standard,96330-11A2110,,,3 / 3 / Standard Leakage / Single Spring (All Sizes) / ANSI Flange 300 / SRF Smooth,"3""300#ANSI ISV STL|RF|HNB"
351    (C727502,351,,TBD,,,,,0908122202 351 MULTI-POIN
9402-22526,9402-,Spare Parts-MG,TBD,,,,,"12""94020 O/V INSULATION J"
9730-10252,9730-,Spare Parts-MG,TBD,,,,,PRES SW 0-5# XP DISPLAY 2
94020P-04040321,94020,Pressure / Vacuum Vents,TBD,,,,,"6"" V/PAL-ASSY ALUM A/G LO"
94069=281202,94069,Gauge Hatches,Standard,94069-8B012,,,8'' / Lock-Down / Derakane 470 / ANSI 125/150 Lb / Corrosion Barrier / Corrosion Barrier with Encapsulated Weights,"8""G/H D470+XCB|LOCK|HAST"""
2600-1170B1101,2600-,Radar Level Gauges,TBD,,,,,"FM/AL/F&T/2""/AOHART/GLD/L"
97130-041010,97130,Fire Protection,Standard,97130-4A010,,,4in / Aluminum ANSI-FF / Horizontal or Vertical / 316SS / None / 4in,"4"" H-THERMAL VLV ALUM 316"
94210-220220001,94210,Emergency Vents,SP,,SP,94210-4C4B20,16in / ATEX / Standard / ANSI-FF / ALUMINUM,"16""AL/ANSI EV|<4OZ|ATEX|S"
94020A763365001,94020,Pressure / Vacuum Vents,TBD,,,,,"6X8""316/PN16-RF|PFA|REINF"
94020P-0707032,94020,Pressure / Vacuum Vents,TBD,,,,,"12"" P-PAL ASY|FEP|A/G|SP<"
94200-12052220,94200,Emergency Vents,Discontinued Feature,,Discontinued Feature,,#N/A,"30""ANSI E/V-CS|AL/PAL|FEP"
1000M1834040010,1000M,Transmitters,TBD,,,,,1000M 42'/SS FLT/AO/24VDC
9402-17430,9402-,Spare Parts-MG,TBD,,,,,"XOS SPACER DISC .031""N809"
1500F1632000208,1500F,Servo Level Gauges,TBD,,,,,"1500F6""150#CS/LV/BSW/DEN/"
1000M0099161100,1000M,Transmitters,TBD,,,,,1000M -SB/-FLT/SPOT/LJ/AO
94060-104241001,94060,Pressure / Vacuum Vents,TBD,,,,,"10""O/V D470|SS/HW|EW|CMTR"
97100E661202001,97100,Wastewater - Misc,Standard,97100E661202001,,,NoKit,6QT 316/CR 5# A/I N/T NO
94241-0701,94241,Pressure / Vacuum Vents,Standard,94241-07111,,,"6"" 125 lb. FF Flange / Aluminum / Aluminum / Zinc Plated Steel / Galvanized Steel","6""F/V ALUM BASE/HOOD|ZNPL"
92302-19554A,92302,Automatic Tank Gauges,Standard,92302-19554A,,,NoKit,AL GAGE BD & 4A KIT-11.96
D40484=38,D4048,"Delavan Spare Parts (110,220,320)",TBD,,,,,11L/220 SENSOR SET = 38KH
94210-141101,94210,Emergency Vents,Standard,94210-7L7C10,,,24in / Standard / Expanda-Seal / API 650 / STEEL,"24""X24""EM/VT STL/API AL/P"
94210-380201,94210,Emergency Vents,Standard,94210-7J7B10,,,24in / Standard / Expanda-Seal / ANSI-FF / 316SS,"24""ANSI-316 E/V XOS SP<4O"
94200-52232300,94200,Emergency Vents,Discontinued Feature,,Discontinued Feature,,#N/A,"20X24""API 316SS E/V|VIT|>"
94100-03001,94100,Pressure / Vacuum Vents,Standard,94100-03001,,,NoKit,"6""150#RF VAC VENT FKM/DIA"
94020=55110200,94020,Pressure / Vacuum Vents,Standard,94020-4C4C10,,,Open Vent / 4in / CAST STEEL I-ST / ANSI-RF 150# / HIGH / Standard / Lead / FEP,"4""RF/CS O/V|FEP|SP>5""WC|A"
94640-0606400,94640,Pressure / Vacuum Vents,Standard,94640-06066A00,,,Aluminum ANSI-FF / 8 x 10 / FEP / Standard / None,8X10 PORV ALUM FEP/SG 1-2
94020R72097500,94020,Pressure / Vacuum Vents,TBD,,,,,"2X3""316FF C/V|AW|PFA-XOS|"
D42943,D4294,"Delavan Spare Parts (110,220,320)",TBD,,,,,M/W MT-801 SENSOR (TRANSM
94020R78114500,94020,Pressure / Vacuum Vents,TBD,,,,,"10""RF BV-316SS FKM/FEP RS"
94200-520422002,94200,Emergency Vents,TBD,,SP,94200-4F4A10,,"24""API/316 E/V AL/PAL LO/"
94201-010103001,94201,Emergency Vents,SP,,SP,94201-2D2A2C10,20 / Standard / 2.24 - 2.85 / STEEL / STEEL / Standard / API 650,"20""EM VNT STL BASE W/O MT"
851233-006,85123,Spare Parts-MG,TBD,,,,,"10"" SEAT - ALUM SPINNING"
94020=160302E5,94020,Pressure / Vacuum Vents,Standard,94021-6A6C10,,,"Closed, Standard Outlet > Inlet* / 6in / ALUMINUM I-ST / ANSI-FF 150# / HIGH / Standard / Lead / FEP","6""X8""AL C/V;316:SEAT+PAL+"
97100E631222,97100,Wastewater - Misc,Standard,97100E631222,,,NoKit,"6QT AL,NEOP,AI,NEMA4/7,AN"
97150-082301002,97150,Wastewater - Misc,SP,,SP,97150-082E15,High/External / 8in / External / Insulation Jacket / 8in,"8"" SPR,ALUM,X,SOL,JKT,7-1"
97130-032010,97130,Fire Protection,Standard,97130-3B010,,,3in / 316SS ANSI-FF / Horizontal or Vertical / 316SS / None / 3in,"3"" H-THERMAL VLV 316SS 31"
7030   &B7000 1,7030,Overfill Protection,TBD,,,,,820110     MCG 7030 ALARM
7030   &F72402,7030,Overfill Protection,TBD,,,,,820110     MCG 7030 ALARM
820846,82084,L&J Spare Parts,TBD,,,,,DATA HWY LIGHTNING SUPRES
94020=571115002,94020,Pressure / Vacuum Vents,TBD,,,,,"8"" B/V CS/RF XOS SP=40"" H"
95021-010202,95021,Gauge Hatches,Standard,95021-04C200,,,"Quick Clamp / 316SS / 4"" / ANSI-FF 150 lb. Bolted / Standard No Lock","4"" GAGE HATCH SS BOLTED Q"
95021-010200,95021,Gauge Hatches,Standard,95021-04B200,,,"Quick Clamp / Steel / 4"" / ANSI-FF 150 lb. Bolted / Standard No Lock","4"" GAGE HATCH BOLTED STL"
92302-18702A,92302,Automatic Tank Gauges,Standard,92302-18702A,,,NoKit,"LLI AL FT/IN 63'3""TK HT K"
94110=541000001,94110,Pressure / Vacuum Vents,TBD,,,,,"3""RF VAC/VT STL STD APCS2"
9422-10511,9422-,Spare Parts-MG,TBD,,,,,"20"" DISC (OUTER) N8090"
97100-7312001,97100,Wastewater - Misc,Standard,97100-7312001,,,NoKit,6QT AL AN-C 316/INT AI 25
92021-33450100,92021,Automatic Tank Gauges,Standard,92021-33450100,,,NoKit,"GAGE HEAD & H.C,MET,INNAG"
97100E731222,97100,Wastewater - Misc,Standard,97100E731222,,,NoKit,6QT AL/NEOP 25# AN-C&D A/
95021-232240,95021,Gauge Hatches,Standard,95021-28B224,,,"Quick Clamp / Steel / 8"" / ANSI-RF 150 lb. Bolted / ATEX - No Lock","8"" RF/CS/VITON Q/CL ATEX"
94040=750710001,94040,Pressure / Vacuum Vents,SP,,SP,94041-4C4B4G10,4'' / Standard / 7.01 PSIG - 9.0 PSIG / Standard / CAST STEEL I-ST / ANSI-RF 150#,"4""RF SLBV/CS FEP 8#/-1#"
9422-12820,9422-,Spare Parts-MG,TBD,,,,,"36""ANSI X (28)5/8H ON 33"""
94210-210200,94210,Emergency Vents,Standard,94210-2C2B10,,,10in / Standard / Standard / ANSI-FF / ALUMINUM,"10"" EMG/VT ALUM 1.1OZ<SP<"
